date,drct,sped
2019-01-01 00:20,310.0,10.119939
2019-01-01 00:50,310.0,10.289325
2019-01-01 01:20,310.0,12.1175785
2019-01-01 01:50,310.0,10.717563
2019-01-01 02:20,310.0,12.308837
2019-01-01 02:50,310.0,10.488072
2019-01-01 03:20,320.0,8.789973
2019-01-01 03:50,320.0,8.370676
2019-01-01 04:20,320.0,9.128149
2019-01-01 04:50,330.0,9.34291
2019-01-01 05:20,310.0,7.4022474
2019-01-01 05:50,320.0,7.1475377
2019-01-01 06:20,340.0,6.4016213
2019-01-01 06:50,340.0,5.8428884
2019-01-01 07:20,360.0,4.373409
2019-01-01 07:50,340.0,5.7912602
2019-01-01 08:20,340.0,4.8820767
2019-01-01 08:50,350.0,4.484296
2019-01-01 09:20,20.0,2.7689047
2019-01-01 09:50,30.0,2.0315268
2019-01-01 10:20,20.0,1.9076965
2019-01-01 10:50,30.0,2.324426
2019-01-01 11:20,40.0,0.59875274
2019-01-01 11:50,40.0,1.7798065
2019-01-01 12:20,50.0,2.9519823
2019-01-01 12:50,50.0,2.5086176
2019-01-01 13:20,40.0,4.7218804
2019-01-01 13:50,30.0,4.582306
2019-01-01 14:20,40.0,4.570652
2019-01-01 14:50,40.0,4.761296
2019-01-01 15:20,50.0,5.4849944
2019-01-01 15:50,50.0,5.382128
2019-01-01 16:20,50.0,5.2504177
2019-01-01 16:50,40.0,1.7578456
2019-01-01 17:20,50.0,2.8005128
2019-01-01 17:50,70.0,2.278531
2019-01-01 18:20,50.0,1.9054348
2019-01-01 18:50,60.0,3.0966473
2019-01-01 19:20,60.0,2.6621115
2019-01-01 19:50,60.0,2.809241
2019-01-01 20:20,60.0,2.6857262
2019-01-01 20:50,50.0,1.3404678
2019-01-01 21:20,60.0,2.209013
2019-01-01 21:50,50.0,1.4619358
2019-01-01 22:20,40.0,0.8489505
2019-01-01 22:50,20.0,1.2689489
2019-01-01 23:20,20.0,1.5050273
2019-01-01 23:50,20.0,1.056947
2019-01-02 00:20,30.0,0.44718254
2019-01-02 00:50,20.0,0.88666886
2019-01-02 01:20,20.0,0.92037153
2019-01-02 01:50,40.0,0.92361885
2019-01-02 02:20,60.0,0.7294903
2019-01-02 03:50,110.0,0.8099692
2019-01-02 05:50,180.0,0.5094427
2019-01-02 06:20,150.0,0.94203913
2019-01-02 09:20,190.0,4.0129404
2019-01-02 09:50,170.0,2.457577
2019-01-02 10:20,150.0,0.20884922
2019-01-02 10:50,130.0,2.2516775
2019-01-02 11:20,140.0,5.164249
2019-01-02 11:50,140.0,4.0477376
2019-01-02 12:20,130.0,5.202988
2019-01-02 12:50,130.0,3.8274462
2019-01-02 13:20,140.0,4.7302322
2019-01-02 13:50,140.0,5.2082796
2019-01-02 14:20,130.0,3.58815
2019-01-02 14:50,130.0,4.5730276
2019-01-02 15:20,130.0,2.5509267
2019-01-02 15:50,160.0,1.8788371
2019-01-02 16:20,170.0,2.9384036
2019-01-02 16:50,170.0,4.123956
2019-01-02 17:20,170.0,3.5506294
2019-01-02 17:50,170.0,3.9559784
2019-01-02 18:20,160.0,2.5842743
2019-01-02 18:50,160.0,2.6489992
2019-01-02 19:20,160.0,2.9324975
2019-01-02 19:50,170.0,3.658556
2019-01-02 20:20,170.0,3.6834419
2019-01-02 20:50,170.0,3.2201273
2019-01-02 21:20,170.0,3.4545975
2019-01-02 21:50,170.0,3.8747966
2019-01-02 22:20,180.0,4.528718
2019-01-02 22:50,180.0,3.06226
2019-01-02 23:20,180.0,3.7108314
2019-01-02 23:50,180.0,3.8286471
2019-01-03 00:20,170.0,3.7361574
2019-01-03 00:50,180.0,4.020837
2019-01-03 01:20,180.0,5.982492
2019-01-03 01:50,180.0,5.024135
2019-01-03 02:20,170.0,4.7635264
2019-01-03 02:50,170.0,4.3754454
2019-01-03 03:20,170.0,4.098177
2019-01-03 03:50,180.0,4.842609
2019-01-03 04:20,160.0,1.3805606
2019-01-03 04:50,170.0,2.9830985
2019-01-03 05:20,180.0,5.6279993
2019-01-03 05:50,170.0,4.962519
2019-01-03 06:20,180.0,7.1342764
2019-01-03 06:50,180.0,7.578797
2019-01-03 07:20,180.0,7.555221
2019-01-03 07:50,170.0,6.0074444
2019-01-03 08:20,180.0,7.8116026
2019-01-03 08:50,180.0,8.002873
2019-01-03 09:20,180.0,9.770644
2019-01-03 09:50,180.0,8.722329
2019-01-03 10:20,180.0,6.4759164
2019-01-03 10:50,180.0,7.0627766
2019-01-03 11:20,180.0,7.1433177
2019-01-03 11:50,180.0,6.90997
2019-01-03 12:20,180.0,8.070893
2019-01-03 12:50,180.0,7.0494924
2019-01-03 13:20,180.0,8.070431
2019-01-03 13:50,170.0,6.663516
2019-01-03 14:20,170.0,7.417684
2019-01-03 14:50,170.0,5.1876163
2019-01-03 15:20,170.0,3.9823315
2019-01-03 15:50,180.0,6.0537205
2019-01-03 16:20,170.0,4.5648417
2019-01-03 16:50,180.0,6.282319
2019-01-03 17:20,180.0,5.8445883
2019-01-03 17:50,180.0,5.8870006
2019-01-03 18:20,170.0,6.2018113
2019-01-03 18:50,180.0,6.1104536
2019-01-03 19:20,180.0,5.7444777
2019-01-03 19:50,180.0,6.0383463
2019-01-03 20:20,180.0,6.7746606
2019-01-03 20:50,180.0,5.964032
2019-01-03 21:20,180.0,7.0837784
2019-01-03 21:50,180.0,5.9462256
2019-01-03 22:20,170.0,6.5243225
2019-01-03 22:50,180.0,7.8655677
2019-01-03 23:20,180.0,7.811386
2019-01-03 23:50,180.0,7.224573
2019-01-04 00:20,180.0,9.192488
2019-01-04 00:50,180.0,9.521514
2019-01-04 01:20,180.0,9.554376
2019-01-04 01:50,180.0,9.149892
2019-01-04 02:20,190.0,7.419338
2019-01-04 02:50,190.0,7.3400908
2019-01-04 03:20,190.0,8.113721
2019-01-04 03:50,190.0,6.2215023
2019-01-04 04:20,200.0,7.251175
2019-01-04 04:50,210.0,7.1551757
2019-01-04 05:20,220.0,8.913763
2019-01-04 05:50,220.0,9.912588
2019-01-04 06:20,220.0,10.46399
2019-01-04 06:50,220.0,11.4566765
2019-01-04 07:20,220.0,8.160651
2019-01-04 07:50,210.0,6.9963584
2019-01-04 08:20,220.0,7.8579793
2019-01-04 08:50,200.0,6.6646843
2019-01-04 09:20,200.0,7.2984357
2019-01-04 09:50,210.0,4.3589144
2019-01-04 10:20,210.0,3.9560716
2019-01-04 10:50,190.0,3.8938298
2019-01-04 11:20,190.0,5.862411
2019-01-04 11:50,180.0,5.2471027
2019-01-04 12:20,180.0,6.270297
2019-01-04 12:50,180.0,6.1494255
2019-01-04 13:20,180.0,4.139864
2019-01-04 13:50,190.0,5.7424507
2019-01-04 14:20,200.0,4.0790586
2019-01-04 14:50,210.0,6.756819
2019-01-04 15:20,210.0,4.3555136
2019-01-04 15:50,200.0,5.821004
