date,drct,sped
2006-01-01 00:20,320.0,7.56385
2006-01-01 00:50,320.0,6.9401455
2006-01-01 01:20,330.0,8.777032
2006-01-01 01:50,330.0,9.360282
2006-01-01 02:20,320.0,13.441257
2006-01-01 02:50,340.0,4.593046
2006-01-01 03:20,320.0,9.628648
2006-01-01 03:50,330.0,6.5522647
2006-01-01 04:20,350.0,4.8820953
2006-01-01 04:50,350.0,5.1231866
2006-01-01 05:20,350.0,4.930846
2006-01-01 05:50,340.0,4.8755684
2006-01-01 06:20,330.0,3.4950442
2006-01-01 06:50,330.0,3.2542386
2006-01-01 07:20,340.0,3.193364
2006-01-01 07:50,350.0,2.1814797
2006-01-01 08:20,320.0,6.615969
2006-01-01 08:50,320.0,8.321398
2006-01-01 09:20,320.0,8.620201
2006-01-01 09:50,330.0,7.350909
2006-01-01 10:20,330.0,6.2176447
2006-01-01 10:50,330.0,7.4975114
2006-01-01 11:20,330.0,7.502729
2006-01-01 11:50,330.0,7.8478065
2006-01-01 12:20,320.0,8.69831
2006-01-01 12:50,330.0,7.0735164
2006-01-01 13:20,330.0,9.9565735
2006-01-01 13:50,330.0,8.738848
2006-01-01 14:20,330.0,9.736887
2006-01-01 14:50,330.0,9.178655
2006-01-01 15:20,340.0,7.450665
2006-01-01 15:50,340.0,7.6714725
2006-01-01 16:20,340.0,6.619413
2006-01-01 16:50,330.0,7.153112
2006-01-01 17:20,330.0,5.9993997
2006-01-01 18:50,320.0,5.3154855
2006-01-01 19:20,320.0,4.3404403
2006-01-01 19:50,330.0,2.6594372
2006-01-01 21:50,180.0,1.7167172
2006-01-01 22:20,170.0,3.2100077
2006-01-01 22:50,180.0,4.1960335
2006-01-01 23:20,170.0,3.9655516
2006-01-01 23:50,170.0,4.692282
2006-01-02 00:20,180.0,3.7064843
2006-01-02 00:50,170.0,4.904815
2006-01-02 01:20,180.0,5.7180176
2006-01-02 01:50,180.0,5.5125847
2006-01-02 02:20,180.0,5.709852
2006-01-02 02:50,180.0,6.1989493
2006-01-02 03:20,180.0,7.2837133
2006-01-02 03:50,170.0,6.7839527
2006-01-02 04:20,170.0,5.957994
2006-01-02 04:50,170.0,6.500371
2006-01-02 05:20,170.0,7.9987845
2006-01-02 05:50,180.0,7.926782
2006-01-02 06:20,190.0,8.519628
2006-01-02 06:50,180.0,7.749108
2006-01-02 07:20,180.0,8.686826
2006-01-02 07:50,180.0,9.286271
2006-01-02 08:20,180.0,9.925242
2006-01-02 08:50,180.0,10.177087
2006-01-02 09:20,180.0,8.844404
2006-01-02 09:50,180.0,9.840817
2006-01-02 10:20,190.0,11.282275
2006-01-02 10:50,190.0,11.099438
2006-01-02 11:20,190.0,12.044447
2006-01-02 11:50,190.0,12.589759
2006-01-02 12:20,190.0,13.495479
2006-01-02 12:50,190.0,13.64567
2006-01-02 13:20,190.0,14.416761
2006-01-02 13:50,190.0,15.886398
2006-01-02 14:20,190.0,16.123095
2006-01-02 15:50,190.0,17.353243
2006-01-02 16:20,190.0,16.550026
2006-01-02 16:50,180.0,15.252075
2006-01-02 17:20,190.0,15.616665
2006-01-02 17:50,190.0,16.630623
2006-01-02 18:20,180.0,16.33547
2006-01-02 18:50,180.0,16.17871
2006-01-02 19:20,190.0,15.454125
2006-01-02 19:50,190.0,14.479363
2006-01-02 20:20,250.0,10.30964
2006-01-02 20:50,240.0,6.7342725
2006-01-02 21:20,230.0,8.303075
2006-01-02 21:50,230.0,10.517417
2006-01-02 22:20,250.0,11.274827
2006-01-02 22:50,250.0,7.941431
2006-01-02 23:20,250.0,8.46652
2006-01-02 23:50,250.0,9.232672
2006-01-03 00:20,260.0,10.507577
2006-01-03 00:50,270.0,9.047667
2006-01-03 01:20,270.0,9.335484
2006-01-03 01:50,280.0,13.74223
2006-01-03 02:20,260.0,10.635326
2006-01-03 02:50,260.0,10.840129
2006-01-03 03:20,280.0,13.519628
2006-01-03 03:50,270.0,12.07467
